"文件夹","名称","平面坐标X","平面坐标Y","经度","纬度","海拔","文本显示风格","图标样式","显示级别","叠放层次","图标颜色及不透明度","图标比例","对象ID","附件ID与名称","所属区域","Comment","创建时间","修改时间"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88274409","31.11103058","0","1","0","1-0","0","0X00000000","0.0","437011588","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88281100","31.11088986","0","1","0","1-0","0","0X00000000","0.0","1789683080","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4018","1.918","0.543","109.88282474","31.11091194","0","1","0","1-0","0","0X00000000","0.0","1399837680","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4027","1.918","0.543","109.88276803","31.11090547","0","1","0","1-0","0","0X00000000","0.0","1214255639","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4020","1.918","0.543","109.88270132","31.11114736","0","1","0","1-0","0","0X00000000","0.0","2070314970","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4019","1.918","0.543","109.88274892","31.11108172","0","1","0","1-0","0","0X00000000","0.0","389982633","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88344358","31.10958402","0","1","0","1-0","0","0X00000000","0.0","1861953488","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88337852","31.10976460","0","1","0","1-0","0","0X00000000","0.0","1141466158","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4004","1.918","0.543","109.88351225","31.10947485","0","1","0","1-0","0","0X00000000","0.0","1443914649","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4005","1.918","0.543","109.88345650","31.10962282","0","1","0","1-0","0","0X00000000","0.0","653702336","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88330611","31.11016421","0","1","0","1-0","0","0X00000000","0.0","30324680","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88332380","31.10994753","0","1","0","1-0","0","0X00000000","0.0","1545489800","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88330112","31.11009829","0","1","0","1-0","0","0X00000000","0.0","1251682921","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4007","1.918","0.543","109.88334132","31.10998510","0","1","0","1-0","0","0X00000000","0.0","1155411536","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4006","1.918","0.543","109.88338091","31.10983517","0","1","0","1-0","0","0X00000000","0.0","1685225397","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4009","1.918","0.543","109.88333237","31.11026720","0","1","0","1-0","0","0X00000000","0.0","1640622366","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4008","1.918","0.543","109.88332497","31.11013138","0","1","0","1-0","0","0X00000000","0.0","529465571","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88349424","31.10945458","0","1","0","1-0","0","0X00000000","0.0","1948469502","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4001","1.918","0.543","109.88350691","31.10931531","0","1","0","1-0","0","0X00000000","0.0","417511195","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4002","1.918","0.543","109.88351106","31.10936315","0","1","0","1-0","0","0X00000000","0.0","145158087","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4003","1.918","0.543","109.88356353","31.10936827","0","1","0","1-0","0","0X00000000","0.0","105129802","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4029","1.918","0.543","109.88356286","31.10935540","0","1","0","1-0","0","0X00000000","0.0","1689122533","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4000","1.918","0.543","109.88341508","31.10928170","0","1","0","1-0","0","0X00000000","0.0","1429703410","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88332850","31.11033521","0","1","0","1-0","0","0X00000000","0.0","1431152010","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4010","1.918","0.543","109.88338465","31.11046866","0","1","0","1-0","0","0X00000000","0.0","799791690","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4011","1.918","0.543","109.88333884","31.11047913","0","1","0","1-0","0","0X00000000","0.0","313740068","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4012","1.918","0.543","109.88335736","31.11055934","0","1","0","1-0","0","0X00000000","0.0","339449985","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4028","1.918","0.543","109.88328285","31.11047797","0","1","0","1-0","0","0X00000000","0.0","1766479567","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4013","1.918","0.543","109.88332599","31.11063888","0","1","0","1-0","0","0X00000000","0.0","496524096","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4014","1.918","0.543","109.88328910","31.11066846","0","1","0","1-0","0","0X00000000","0.0","436113610","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88314571","31.11067764","0","1","0","1-0","0","0X00000000","0.0","1185285614","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88300022","31.11071005","0","1","0","1-0","0","0X00000000","0.0","1367116161","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88289085","31.11078554","0","1","0","1-0","0","0X00000000","0.0","1405650378","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4016","1.918","0.543","109.88299227","31.11073181","0","1","0","1-0","0","0X00000000","0.0","361474096","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4017","1.918","0.543","109.88289283","31.11080941","0","1","0","1-0","0","0X00000000","0.0","520743446","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4015","1.918","0.543","109.88311199","31.11070131","0","1","0","1-0","0","0X00000000","0.0","1614009293","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88244437","31.11118816","0","1","0","1-0","0","0X00000000","0.0","527387785","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4021","1.918","0.543","109.88263526","31.11118502","0","1","0","1-0","0","0X00000000","0.0","2060196994","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4022","1.918","0.543","109.88257042","31.11119915","0","1","0","1-0","0","0X00000000","0.0","499671342","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4023","1.918","0.543","109.88242439","31.11120876","0","1","0","1-0","0","0X00000000","0.0","1521014649","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4024","1.918","0.543","109.88234266","31.11123081","0","1","0","1-0","0","0X00000000","0.0","541824675","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4025","1.918","0.543","109.88229512","31.11122170","0","1","0","1-0","0","0X00000000","0.0","1291267535","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4026","1.918","0.543","109.88234207","31.11122403","0","1","0","1-0","0","0X00000000","0.0","1525965619","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN200","1.918","0.543","109.88228329","31.10297441","0","1","0","1-0","0","0X00000000","0.0","1338753967","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88280745","31.10320186","0","1","0","1-0","0","0X00000000","0.0","1619668774","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88265696","31.10347922","0","1","0","1-0","0","0X00000000","0.0","1040540494","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88291833","31.10298984","0","1","0","1-0","0","0X00000000","0.0","1168516477","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3942","1.918","0.543","109.88291417","31.10304977","0","1","0","1-0","0","0X00000000","0.0","907614071","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3943","1.918","0.543","109.88278989","31.10328947","0","1","0","1-0","0","0X00000000","0.0","1133769079","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3929","1.918","0.543","109.88226978","31.10303182","0","1","0","1-0","0","0X00000000","0.0","1879169354","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88164434","31.10524314","0","1","0","1-0","0","0X00000000","0.0","1503508436","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88188226","31.10479671","0","1","0","1-0","0","0X00000000","0.0","1373061286","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88176146","31.10499810","0","1","0","1-0","0","0X00000000","0.0","787449079","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3951","1.918","0.543","109.88175080","31.10506522","0","1","0","1-0","0","0X00000000","0.0","1243665999","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3950","1.918","0.543","109.88186401","31.10486895","0","1","0","1-0","0","0X00000000","0.0","1188359462","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88137930","31.10654673","0","1","0","1-0","0","0X00000000","0.0","1015759661","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88141264","31.10639205","0","1","0","1-0","0","0X00000000","0.0","1941017600","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88141257","31.10618487","0","1","0","1-0","0","0X00000000","0.0","580108107","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3958","1.918","0.543","109.88144674","31.10629337","0","1","0","1-0","0","0X00000000","0.0","497681156","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3959","1.918","0.543","109.88143915","31.10640923","0","1","0","1-0","0","0X00000000","0.0","272634756","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88251189","31.10373969","0","1","0","1-0","0","0X00000000","0.0","503903574","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88238347","31.10397454","0","1","0","1-0","0","0X00000000","0.0","1318679378","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3944","1.918","0.543","109.88256906","31.10359778","0","1","0","1-0","0","0X00000000","0.0","311773914","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3945","1.918","0.543","109.88250008","31.10381071","0","1","0","1-0","0","0X00000000","0.0","15450756","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3946","1.918","0.543","109.88235711","31.10407485","0","1","0","1-0","0","0X00000000","0.0","299221246","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4036","1.918","0.543","109.88261890","31.10360780","0","1","0","1-0","0","0X00000000","0.0","449598670","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88209940","31.10445631","0","1","0","1-0","0","0X00000000","0.0","10971445","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88199457","31.10462264","0","1","0","1-0","0","0X00000000","0.0","1064414006","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3947","1.918","0.543","109.88220299","31.10433067","0","1","0","1-0","0","0X00000000","0.0","188575772","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88223354","31.10423323","0","1","0","1-0","0","0X00000000","0.0","841421222","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3948","1.918","0.543","109.88208874","31.10452093","0","1","0","1-0","0","0X00000000","0.0","2010340352","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3949","1.918","0.543","109.88199529","31.10466528","0","1","0","1-0","0","0X00000000","0.0","753786534","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88143196","31.10572291","0","1","0","1-0","0","0X00000000","0.0","1777157485","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
